Season,Player,Pos,Age,Tm,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PFPG,PPG,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,Alex Abrines,SG,24,OKC,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.54,0.5,0.6,0.848,1.5,0.4,0.5,0.1,0.3,1.7,4.7,9,0.567,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1
2017,Quincy Acy,PF,27,BRK,70,8,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.496,0.7,0.9,0.817,3.7,0.8,0.5,0.4,0.9,2.1,5.9,8.2,0.525,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2
2017,Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,0.629,0,0,0,0.629,2.1,3.8,0.559,9,1.2,1.2,1,1.7,2.8,13.9,20.6,0.63,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2
2017,Bam Adebayo,C,20,MIA,69,19,19.8,2.5,4.9,0.512,0,0.1,0,0.512,1.9,2.6,0.721,5.5,1.5,0.5,0.6,1,2,6.9,15.7,0.57,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6
2017,Arron Afflalo,SG,32,ORL,53,3,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.485,0.4,0.5,0.846,1.2,0.6,0.1,0.2,0.4,1.1,3.4,5.8,0.516,12.5,-0.1,0.2,0.1,0.009,-3.8,-1.5,-5.4,-0.6
2017,Cole Aldrich,C,29,MIN,21,0,2.3,0.2,0.7,0.333,0,0,,0.333,0.1,0.3,0.333,0.7,0.1,0.1,0,0,0.5,0.6,6,0.34,16.8,-0.1,0.1,0,-0.013,-6.8,-0.7,-7.5,-0.1
2017,LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18,0.51,0.4,1.2,0.293,0.52,4.5,5.3,0.837,8.5,2,0.6,1.2,1.5,2.1,23.1,25,0.57,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7
2017,Jarrett Allen,C,19,BRK,72,31,20,3.3,5.5,0.589,0.1,0.2,0.333,0.596,1.6,2,0.776,5.4,0.7,0.4,1.2,1.1,2,8.2,17.5,0.636,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5
2017,Kadeem Allen,PG,25,BOS,18,1,5.9,0.3,1.2,0.273,0,0.6,0,0.273,0.4,0.5,0.778,0.6,0.7,0.2,0.1,0.5,0.8,1.1,2.6,0.366,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2
2017,Tony Allen,SF,36,NOP,22,0,12.4,2,4.1,0.484,0.2,0.5,0.333,0.505,0.5,1,0.524,2.1,0.4,0.5,0.1,0.9,2.2,4.7,8.7,0.514,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2
2017,Al-Farouq Aminu,PF,27,POR,69,67,30,3.3,8.4,0.395,1.8,4.9,0.369,0.503,0.9,1.2,0.738,7.6,1.2,1.1,0.6,1.1,2,9.3,12,0.522,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
2017,Justin Anderson,SF,24,PHI,38,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,0.515,0.7,1,0.737,2.4,0.7,0.4,0.2,0.4,1.4,6.2,13,0.54,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1
2017,Kyle Anderson,SF,24,SAS,74,67,26.7,3.1,5.9,0.527,0.3,0.8,0.333,0.549,1.4,2,0.712,5.4,2.7,1.6,0.8,1.3,1.5,7.9,15.9,0.582,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4
2017,Ryan Anderson,PF,29,HOU,66,50,26.1,3.1,7.3,0.431,2,5.1,0.386,0.568,1.1,1.4,0.774,5,0.9,0.4,0.3,0.6,1.9,9.3,12.6,0.592,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9
2017,Ike Anigbogu,C,19,IND,11,0,2.7,0.4,0.8,0.444,0,0,,0.444,0.5,0.5,0.833,0.8,0,0.1,0.3,0.2,0.1,1.2,21.6,0.558,20.3,0.1,0,0.1,0.165,1.8,0.1,1.9,0
2017,Giannis Antetokounmpo,PF,23,MIL,75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,0.545,6.5,8.5,0.76,10,4.8,1.5,1.4,3,3.1,26.9,27.3,0.598,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
2017,Carmelo Anthony,PF,33,OKC,78,78,32.1,6.1,15,0.404,2.2,6.1,0.357,0.476,1.9,2.5,0.767,5.8,1.3,0.6,0.6,1.3,2.5,16.2,12.7,0.503,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0
2017,OG Anunoby,SF,20,TOR,74,62,20,2.2,4.7,0.471,1,2.7,0.371,0.577,0.5,0.8,0.629,2.5,0.7,0.7,0.2,0.6,1.8,5.9,10,0.587,12.4,1.4,1.6,3,0.098,-1.2,0.6,-0.6,0.5
2017,Ryan Arcidiacono,PG,23,CHI,24,0,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.524,0.2,0.3,0.833,1,1.5,0.5,0,0.5,0.8,2,7.3,0.55,8.1,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2
2017,Trevor Ariza,SF,32,HOU,67,67,33.9,4,9.7,0.412,2.5,6.9,0.368,0.542,1.1,1.3,0.854,4.4,1.6,1.5,0.2,0.8,2,11.7,11.8,0.567,14.4,2.6,2.8,5.3,0.113,0,0.7,0.7,1.5
2017,Darrell Arthur,PF,29,DEN,19,1,7.4,1.2,2.5,0.468,0.4,1.2,0.348,0.553,0.1,0.2,0.667,0.8,0.5,0.4,0.2,0.8,1.2,2.8,8.4,0.559,19.5,-0.2,0.1,0,-0.011,-4.8,-0.5,-5.3,-0.1
2017,Jamel Artis,SG,25,ORL,15,1,18.6,2.1,5.3,0.392,0.5,1.9,0.276,0.443,0.5,0.8,0.583,2.5,1.2,0.1,0.2,0.5,0.7,5.1,6.9,0.457,14.5,-0.1,0.1,0,-0.006,-3.8,-1.6,-5.4,-0.2
2017,Ömer Aşık,C,31,TOT,18,0,10.1,0.5,1.2,0.409,0,0,,0.409,0.2,0.7,0.308,2.6,0.2,0.1,0.2,0.5,1.1,1.2,3.1,0.397,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8,-0.3
2017,Ömer Aşık,C,31,NOP,14,0,8.6,0.5,1.1,0.438,0,0,,0.438,0.3,0.9,0.333,2.6,0.1,0.1,0.1,0.4,1,1.3,3.1,0.397,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8,-0.3
2017,Ömer Aşık,C,31,CHI,4,0,15.3,0.5,1.5,0.333,0,0,,0.333,0,0.3,0,2.5,0.3,0.3,0.5,1,1.5,1,3.1,0.397,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8,-0.3
2017,D.J. Augustin,PG,30,ORL,75,36,23.5,3.3,7.2,0.452,1.5,3.6,0.419,0.557,2.2,2.5,0.868,2.1,3.8,0.7,0,1.6,1.3,10.2,15.4,0.615,18.6,3.3,0.8,4.1,0.11,1,-1.2,-0.2,0.8
2017,Luke Babbitt,SF,28,TOT,50,14,14.3,1.8,4.3,0.423,1.2,3.1,0.385,0.563,0.3,0.4,0.773,1.9,0.6,0.2,0.1,0.4,1.1,5.2,9.8,0.576,15,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
2017,Luke Babbitt,SF,28,ATL,37,9,15.4,2.2,4.5,0.476,1.3,3,0.441,0.622,0.5,0.6,0.773,2.2,0.7,0.2,0.1,0.4,1.3,6.1,9.8,0.576,15,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
2017,Luke Babbitt,SF,28,MIA,13,5,11.2,0.8,3.6,0.234,0.8,3.5,0.244,0.351,0,0,,1.2,0.4,0.1,0.2,0.3,0.5,2.5,9.8,0.576,15,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1
2017,Dwayne Bacon,SG,22,CHO,53,6,13.5,1.4,3.6,0.375,0.2,0.8,0.256,0.404,0.4,0.5,0.8,2.3,0.7,0.3,0,0.4,0.9,3.3,5.8,0.431,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5
2017,Ron Baker,SG,24,NYK,29,1,13.3,0.7,2,0.339,0.4,1.1,0.333,0.432,0.7,0.9,0.769,1,1.6,0.9,0.2,0.6,1.1,2.4,9.3,0.504,10,0.1,0.4,0.5,0.059,-2.8,2.4,-0.4,0.2
2017,Wade Baldwin,PG,21,POR,7,0,11.4,2,3,0.667,0.6,0.7,0.8,0.762,0.9,1.4,0.6,1.1,0.7,0.3,0.1,0.6,1.7,5.4,16.6,0.748,16.1,0.2,0.1,0.3,0.187,0.2,1.7,1.9,0.1
2017,Lonzo Ball,PG,20,LAL,52,50,34.2,3.9,10.8,0.36,1.7,5.7,0.305,0.44,0.6,1.4,0.451,6.9,7.2,1.7,0.8,2.6,2.3,10.2,12.5,0.444,17.4,-0.5,2.5,2,0.053,-0.7,1.6,1,1.3
