Season,Player,Pos,Age,Tm,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PFPG,PPG,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,J.J. Barea,PG,33,DAL,69,10,23.2,4.4,10,0.439,1.7,4.5,0.367,0.522,1.2,1.5,0.784,2.9,6.3,0.5,0,2.1,1.2,11.6,17.8,0.545,24.9,2.3,1,3.3,0.098,2.7,-1.5,1.2,1.3
2017,Harrison Barnes,PF,25,DAL,77,77,34.2,7,15.7,0.445,1.5,4.3,0.357,0.494,3.4,4.1,0.827,6.1,2,0.6,0.2,1.5,1.2,18.9,15.8,0.539,25.2,2,1.9,3.8,0.07,0.8,-1.3,-0.5,1
2017,Will Barton,SG,27,DEN,81,40,33.1,5.7,12.7,0.452,1.9,5.2,0.37,0.528,2.2,2.8,0.805,5,4.1,1,0.6,1.8,2.1,15.7,16.2,0.562,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1
2017,Nicolas Batum,SG,29,CHO,64,64,31,4.2,10.2,0.415,1.4,4.3,0.336,0.486,1.7,2,0.831,4.8,5.5,1,0.4,2,1.1,11.6,14.4,0.523,18.3,1.7,1.8,3.5,0.084,0.5,-0.1,0.4,1.2
2017,Jerryd Bayless,SG,29,PHI,39,11,23.7,2.8,6.7,0.416,1.4,3.7,0.37,0.519,0.9,1.1,0.795,2.1,1.4,0.6,0.2,1.2,2.3,7.9,7.5,0.546,15.1,0.2,0.9,1.1,0.055,-2.7,-0.2,-2.8,-0.2
2017,Aron Baynes,C,31,BOS,81,67,18.3,2.6,5.5,0.471,0,0.3,0.143,0.474,0.7,1,0.756,5.4,1.1,0.3,0.6,1,2.5,6,12,0.502,16.8,0.5,2.5,3,0.097,-3.6,0.7,-2.9,-0.3
2017,Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,0.42,1.7,4.2,0.394,0.5,2.5,3.1,0.796,3.8,3.5,1.5,0.7,2.4,2.3,12.9,14.5,0.547,22.5,0.2,2,2.2,0.059,-0.4,1,0.6,1.2
2017,Bradley Beal,SG,24,WAS,82,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,0.527,3.6,4.5,0.791,4.4,4.5,1.2,0.4,2.6,2,22.6,18.4,0.564,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1
2017,Malik Beasley,SG,21,DEN,62,0,9.4,1.2,2.9,0.41,0.5,1.3,0.341,0.489,0.4,0.5,0.667,1.1,0.5,0.2,0.1,0.4,0.6,3.2,9,0.509,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3
2017,Michael Beasley,PF,29,NYK,74,30,22.3,5.5,10.9,0.507,0.5,1.2,0.395,0.528,1.7,2.1,0.78,5.6,1.7,0.5,0.6,1.9,2,13.2,17.8,0.556,26.9,0.9,1.5,2.4,0.069,0.6,-0.8,-0.2,0.7
2017,Marco Belinelli,SG,31,TOT,80,2,24.3,4.2,9.6,0.441,1.9,4.9,0.377,0.539,1.9,2,0.908,1.9,1.9,0.8,0.2,1.2,1.1,12.1,14.1,0.581,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8
2017,Marco Belinelli,SG,31,ATL,52,1,23.3,3.8,9.3,0.41,1.8,4.8,0.372,0.505,1.9,2.1,0.927,1.9,2,0.9,0.1,1,0.8,11.4,14.1,0.581,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8
2017,Marco Belinelli,SG,31,PHI,28,1,26.3,4.9,10,0.495,2,5.3,0.385,0.597,1.7,1.9,0.87,1.8,1.6,0.7,0.3,1.4,1.8,13.6,14.1,0.581,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8
2017,Jordan Bell,C,23,GSW,57,13,14.2,2,3.2,0.627,0,0.1,0,0.627,0.5,0.8,0.682,3.6,1.8,0.6,1,0.9,1.6,4.6,18,0.641,13.9,1.6,1.4,2.9,0.174,0,2.8,2.8,1
2017,DeAndre' Bembry,SF,23,ATL,26,3,17.5,2,4.9,0.414,0.4,1.2,0.367,0.457,0.7,1.3,0.576,2.8,1.9,0.8,0.5,1.8,1.5,5.2,7.6,0.477,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3
2017,Dragan Bender,PF,20,PHO,82,37,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.508,0.5,0.6,0.765,4.4,1.6,0.3,0.6,1.4,2,6.5,7.1,0.524,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9
2017,Dāvis Bertāns,PF,25,SAS,77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.568,0.5,0.6,0.816,2,1,0.3,0.4,0.5,1.2,5.9,14.1,0.588,17.4,1.6,1.4,3.1,0.135,1,0.6,1.6,1
2017,Patrick Beverley,SG,29,LAC,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,0.504,1.3,1.5,0.824,4.1,2.9,1.7,0.5,2.3,3.1,12.2,12.4,0.53,19.6,0.1,0.3,0.4,0.056,-0.3,0.8,0.5,0.2
2017,Khem Birch,C,25,ORL,42,0,13.8,1.6,3,0.54,0,0,,0.54,1,1.5,0.689,4.3,0.8,0.4,0.5,0.5,1.3,4.2,16.4,0.582,13.2,1.2,0.6,1.8,0.15,-0.7,-0.2,-0.9,0.2
2017,Jabari Bird,SG,23,BOS,13,1,8.8,1.2,2,0.577,0.2,0.5,0.429,0.635,0.5,1,0.462,1.5,0.6,0.2,0.1,0.6,0.5,3,12.1,0.615,15.4,0.1,0.2,0.2,0.098,-2.7,-0.4,-3.1,0
2017,Bismack Biyombo,C,25,ORL,82,25,18.2,2.2,4.3,0.52,0,0,0,0.52,1.2,1.9,0.65,5.7,0.8,0.3,1.2,1,1.9,5.7,14.1,0.556,14.9,1.1,1.8,2.9,0.094,-2.6,0.2,-2.4,-0.2
2017,Nemanja Bjelica,PF,29,MIN,67,21,20.5,2.6,5.5,0.461,1.1,2.7,0.415,0.563,0.5,0.7,0.8,4.1,1.3,0.7,0.2,0.8,2.1,6.8,12.6,0.581,14.3,1.7,1.1,2.8,0.097,-0.1,0.2,0.1,0.7
2017,Tarik Black,C,26,HOU,51,2,10.5,1.5,2.5,0.591,0,0.2,0.091,0.594,0.6,1.2,0.46,3.2,0.3,0.4,0.6,0.7,2.1,3.5,14.3,0.582,15.6,0.5,1,1.5,0.136,-3.7,1.2,-2.6,-0.1
2017,Antonio Blakeney,SG,21,CHI,19,0,16.5,2.8,7.5,0.371,0.8,2.7,0.288,0.423,1.6,2.1,0.769,1.7,1.1,0.4,0.1,0.6,1,7.9,10.1,0.471,23.7,-0.2,0.1,0,-0.006,-2.8,-2.4,-5.2,-0.3
2017,Eric Bledsoe,PG,28,TOT,74,74,31.4,6.3,13.4,0.473,1.7,4.9,0.347,0.536,3.4,4.3,0.795,3.8,5,2,0.6,2.9,2.5,17.7,19.7,0.582,26.1,3.1,2.5,5.6,0.116,2.3,0.3,2.5,2.6
2017,Eric Bledsoe,PG,28,PHO,3,3,27.7,5.3,13.3,0.4,1.3,4.3,0.308,0.45,3.7,4.7,0.786,2.3,3,1.3,0.7,3.3,2,15.7,19.7,0.582,26.1,3.1,2.5,5.6,0.116,2.3,0.3,2.5,2.6
2017,Eric Bledsoe,PG,28,MIL,71,71,31.5,6.4,13.4,0.476,1.7,4.9,0.349,0.54,3.4,4.3,0.795,3.9,5.1,2,0.6,2.9,2.5,17.8,19.7,0.582,26.1,3.1,2.5,5.6,0.116,2.3,0.3,2.5,2.6
2017,Vander Blue,SG,25,LAL,5,0,9,0.2,1,0.2,0,0.4,0,0.2,0.2,0.4,0.5,0.2,0.6,0.2,0,0.6,0.4,0.6,-1.8,0.255,8.4,-0.1,0,-0.1,-0.103,-7.6,-0.7,-8.4,-0.1
2017,Bogdan Bogdanović,SG,25,SAC,78,53,27.9,4.4,9.9,0.446,1.7,4.2,0.392,0.529,1.3,1.5,0.84,2.9,3.3,0.9,0.2,1.6,2.2,11.8,13.5,0.556,19.6,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3
2017,Bojan Bogdanović,SF,28,IND,80,80,30.8,5.1,10.7,0.474,1.9,4.8,0.402,0.565,2.2,2.6,0.868,3.4,1.5,0.7,0.1,1.3,1.6,14.3,13.9,0.605,19,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8
2017,Andrew Bogut,C,33,LAL,24,5,9,0.7,1,0.68,0,0,,0.68,0.1,0.1,1,3.3,0.6,0.2,0.5,0.8,1.7,1.5,10.9,0.696,8.8,0.1,0.3,0.4,0.094,-4.7,1.9,-2.8,-0.1
2017,Joel Bolomboy,PF,24,MIL,6,0,6.3,0.5,1,0.5,0,0.2,0,0.5,0.5,1,0.5,1.7,0,0.3,0,0.3,0.5,1.5,11.7,0.521,12.6,0,0,0.1,0.079,-2.6,-2.4,-5,0
2017,Devin Booker,SG,21,PHO,54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,0.501,5.4,6.1,0.878,4.5,4.7,0.9,0.3,3.6,3.1,24.9,18.1,0.561,31.7,1.9,0.6,2.4,0.063,2.9,-2,0.9,1.4
2017,Trevor Booker,PF,30,TOT,68,7,17,2.6,5,0.516,0.1,0.5,0.242,0.528,1,1.4,0.71,4.7,1.2,0.4,0.3,0.9,1.8,6.3,14.9,0.557,16.6,1.6,1.3,2.9,0.121,-0.6,0,-0.6,0.4
2017,Trevor Booker,PF,30,BRK,18,6,21.9,4.3,8.3,0.513,0.2,0.7,0.25,0.523,1.3,2.4,0.558,6.6,2.1,0.4,0.3,1.7,2.4,10.1,14.9,0.557,16.6,1.6,1.3,2.9,0.121,-0.6,0,-0.6,0.4
2017,Trevor Booker,PF,30,PHI,33,0,15,1.8,3.3,0.56,0.1,0.2,0.286,0.569,1,1.2,0.821,3.7,0.8,0.5,0.3,0.6,1.5,4.7,14.9,0.557,16.6,1.6,1.3,2.9,0.121,-0.6,0,-0.6,0.4
2017,Trevor Booker,PF,30,IND,17,1,15.8,2.3,4.9,0.464,0.2,0.8,0.214,0.482,0.6,0.6,0.909,4.5,1,0.2,0.3,0.5,1.5,5.4,14.9,0.557,16.6,1.6,1.3,2.9,0.121,-0.6,0,-0.6,0.4
2017,Chris Boucher,PF,25,GSW,1,0,1,0,1,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,-28.5,0,43.9,0,0,0,-0.899,-21.7,-11.4,-33.1,0
2017,Avery Bradley,SG,27,TOT,46,46,31.2,5.6,13.6,0.414,1.6,4.4,0.369,0.474,1.4,1.8,0.768,2.5,2,1.1,0.2,2.2,2,14.3,9.6,0.496,23.5,-1.4,1.2,-0.2,-0.007,-3,-1,-4,-0.7
2017,Avery Bradley,SG,27,DET,40,40,31.7,5.8,14.3,0.409,1.9,4.9,0.381,0.474,1.5,2,0.763,2.4,2.1,1.2,0.2,2.3,2,15,9.6,0.496,23.5,-1.4,1.2,-0.2,-0.007,-3,-1,-4,-0.7
2017,Avery Bradley,SG,27,LAC,6,6,27.5,4.3,9.2,0.473,0.2,1.5,0.111,0.482,0.3,0.3,1,3.7,1.8,0.8,0.2,1.3,2,9.2,9.6,0.496,23.5,-1.4,1.2,-0.2,-0.007,-3,-1,-4,-0.7
2017,Tony Bradley,C,20,UTA,9,0,3.2,0.3,1.2,0.273,0,0.1,0,0.273,0.2,0.2,1,1.2,0.1,0,0,0,0.1,0.9,9.5,0.337,18.4,0,0,0,0.033,-3,-4.5,-7.5,0
2017,Corey Brewer,SF-SG,31,TOT,72,18,16.8,2,4.4,0.449,0.4,1.5,0.282,0.498,0.9,1.3,0.722,2.1,0.9,1.1,0.2,0.7,1.9,5.3,11.2,0.534,14.3,0.7,1.6,2.3,0.091,-3.2,1.9,-1.3,0.2
2017,Corey Brewer,SF,31,LAL,54,2,12.9,1.4,3.2,0.453,0.1,0.8,0.186,0.477,0.6,0.9,0.667,1.7,0.8,0.8,0.1,0.7,1.5,3.7,11.2,0.534,14.3,0.7,1.6,2.3,0.091,-3.2,1.9,-1.3,0.2
2017,Corey Brewer,SG,31,OKC,18,16,28.6,3.6,8,0.444,1.3,3.7,0.343,0.524,1.7,2.2,0.795,3.4,1.3,2.1,0.3,0.6,3.1,10.1,11.2,0.534,14.3,0.7,1.6,2.3,0.091,-3.2,1.9,-1.3,0.2
2017,Malcolm Brogdon,PG,25,MIL,48,20,29.9,5.1,10.5,0.485,1.3,3.4,0.385,0.547,1.6,1.8,0.882,3.3,3.2,0.9,0.3,1.4,2.7,13,14.3,0.578,19.1,2,0.7,2.7,0.091,-0.1,-1,-1.2,0.3
2017,Aaron Brooks,PG,33,MIN,32,1,5.9,0.9,2.2,0.406,0.3,1,0.355,0.486,0.3,0.3,0.727,0.5,0.6,0.2,0,0.3,0.9,2.3,9.8,0.508,19.9,0.1,0.1,0.1,0.033,-2.6,-1.3,-3.8,-0.1
2017,Dillon Brooks,SF,22,MEM,82,74,28.7,4.1,9.4,0.44,1.1,3.2,0.356,0.501,1.5,2,0.747,3.1,1.6,0.9,0.2,1.5,2.8,11,9.8,0.531,18.5,0.1,1.1,1.2,0.024,-2.9,-1.1,-4,-1.2
2017,MarShon Brooks,SG,29,MEM,7,1,27.6,7.3,14.6,0.5,2.7,4.6,0.594,0.593,2.9,3.3,0.87,3,3.6,1.6,0.4,2.3,0.9,20.1,26.1,0.629,29.8,0.6,0.2,0.7,0.179,7.5,-0.4,7.1,0.4
2017,Anthony Brown,SF,25,MIN,1,0,4,1,1,1,1,1,1,1.5,0,0,,0,1,0,0,0,0,3,41.9,1.5,11.1,0,0,0,0.571,26.2,4.3,30.5,0
2017,Bobby Brown,PG,33,HOU,20,0,5.8,1,2.9,0.328,0.6,2,0.275,0.422,0.1,0.1,0.5,0.4,0.6,0.2,0,0.5,0.3,2.5,5.5,0.425,26.1,-0.3,0.1,-0.2,-0.08,-4.9,-2.3,-7.2,-0.2
2017,Jaylen Brown,SG,21,BOS,70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,0.54,2.1,3.3,0.644,4.9,1.6,1,0.4,1.8,2.6,14.5,13.6,0.562,21.4,1.2,3.2,4.5,0.1,-0.8,0.3,-0.5,0.8
2017,Lorenzo Brown,PG,27,TOR,14,0,9.9,1,2.4,0.412,0.1,0.9,0.167,0.441,0.1,0.1,1,1.1,0.9,0.4,0,0.2,0.5,2.3,8.2,0.459,11.9,0,0.1,0.2,0.06,-3.9,1.5,-2.5,0
2017,Markel Brown,SG,26,HOU,4,0,7.8,0.5,1.8,0.286,0.3,1.3,0.2,0.357,0,0,,1.3,0.5,0,0,0.5,1.5,1.3,-1.2,0.357,12.8,-0.1,0,0,-0.063,-8.8,-2,-10.8,-0.1
2017,Sterling Brown,SG,22,MIL,54,4,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.478,0.4,0.4,0.875,2.6,0.5,0.6,0.2,0.5,1.5,4,9.1,0.503,14,0,0.7,0.7,0.043,-2.8,-0.2,-3.1,-0.2
2017,Nicolás Brussino,SF,24,ATL,4,0,2.5,0,0.5,0,0,0.5,0,0,0,0,,0.8,0,0,0,0,0,0,-4.6,0,8.7,0,0,0,-0.18,-8.1,-3.2,-11.3,0
2017,Thomas Bryant,C,20,LAL,15,0,4.8,0.5,1.4,0.381,0.1,0.7,0.1,0.405,0.3,0.6,0.556,1.1,0.4,0.1,0.1,0.1,0.4,1.5,9.9,0.441,15.9,0,0.1,0.1,0.05,-3.1,-0.2,-3.3,0
2017,Reggie Bullock,SF,26,DET,62,52,27.9,4.3,8.8,0.489,2,4.5,0.445,0.603,0.6,0.8,0.796,2.5,1.5,0.8,0.2,0.8,1.1,11.3,13.6,0.615,15.7,2.8,1.4,4.2,0.117,0.7,0,0.7,1.2
2017,Trey Burke,PG,25,NYK,36,9,21.8,5.4,10.7,0.503,1.1,2.9,0.362,0.552,1,1.6,0.649,2,4.7,0.7,0.1,1.2,1.2,12.8,21,0.563,25.1,2,0.3,2.4,0.145,3.9,-1.4,2.5,0.9
2017,Alec Burks,SG,26,UTA,64,1,16.5,2.7,6.5,0.411,0.7,2.2,0.331,0.467,1.7,1.9,0.863,3,1,0.6,0.1,0.9,1.2,7.7,13.1,0.527,22.5,0.2,1.6,1.9,0.084,-1.3,0.4,-0.9,0.3
2017,Jimmy Butler,SG,28,MIN,59,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,0.512,6.2,7.2,0.854,5.3,4.9,2,0.4,1.8,1.3,22.2,23.7,0.59,24.9,7.1,1.8,8.9,0.198,5,0.7,5.8,4.2
2017,Dwight Buycks,PG,28,DET,29,0,14.7,2.8,6.8,0.414,0.5,1.6,0.333,0.452,1.2,1.4,0.878,1.4,2,0.7,0.1,1.3,1.3,7.4,12.8,0.498,26.4,-0.2,0.4,0.2,0.027,-2.3,-0.7,-3.1,-0.1
2017,Bruno Caboclo,SF,22,TOT,12,0,8.9,0.8,2.6,0.29,0.3,1.4,0.176,0.339,0.4,0.5,0.833,1.8,0.3,0.3,0.3,0.3,0.7,2.2,7.4,0.386,15.8,-0.1,0.1,0,-0.021,-4.8,-1,-5.8,-0.1
2017,Bruno Caboclo,SF,22,TOR,2,0,3.5,0,1,0,0,1,0,0,0,0,,0.5,0.5,0.5,0,0,0.5,0,7.4,0.386,15.8,-0.1,0.1,0,-0.021,-4.8,-1,-5.8,-0.1
2017,Bruno Caboclo,SF,22,SAC,10,0,10,0.9,2.9,0.31,0.3,1.5,0.2,0.362,0.5,0.6,0.833,2.1,0.3,0.2,0.4,0.4,0.7,2.6,7.4,0.386,15.8,-0.1,0.1,0,-0.021,-4.8,-1,-5.8,-0.1
2017,José Calderón,PG,36,CLE,57,32,16,1.6,3.2,0.503,0.8,1.7,0.464,0.624,0.4,0.5,0.8,1.5,2.1,0.5,0,0.7,1.4,4.5,11.3,0.643,11.6,1.5,0.3,1.8,0.095,-1.4,-0.5,-1.9,0
2017,Kentavious Caldwell-Pope,SG,24,LAL,74,74,33.2,4.6,10.8,0.426,2.1,5.6,0.383,0.526,2.1,2.6,0.789,5.2,2.2,1.4,0.2,1.3,2,13.4,13.2,0.561,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4
